기간	구분	기온(℃)	기온(℃)	기온(℃)	기온(℃)	기온(℃)	강수량(mm)	상대습도(%)	상대습도(%)	평균해면기압(hPa)	이슬점온도(℃)	평균운량(10%)	일조시간(hr)	최심신적설(㎝)	바람(m/s)	바람(m/s)	바람(m/s)
기간	구분	평균	평균최고	극점최고	평균최저	극점최저	강수량(mm)	평균	최소	평균해면기압(hPa)	이슬점온도(℃)	평균운량(10%)	일조시간(hr)	최심신적설(㎝)	평균풍속	최대풍속	최대순간풍속
2015.01	서울시	-0.9	3.6	9	-4.8	-9.8	11.3	56	22	1,024.7	-9	3.9	193.3	5.1	2.6	7.7	13
2015.02	서울시	1	6	13	-2.9	-13	22.7	59	17	1,022.2	-6.8	4.5	180	0.3	2.9	8.5	14.5
2015.03	서울시	6.3	12.4	21.9	1	-6.9	9.6	45	9	1,021.3	-6	2.8	270.8	-	3.1	9.1	16.3
2015.04	서울시	13.3	18.8	28.3	8.4	3.5	80.5	55	11	1,015.8	2.9	5	216	-	3.1	10.4	16.4
2015.05	서울시	18.9	24.9	32.2	13.6	8.3	28.9	53	12	1,009.4	7.5	4.1	290.4	-	3	11.1	17.2
2015.06	서울시	23.6	29.5	34.9	18.9	15.6	99	60	13	1,006.7	14.4	5.6	258.1	-	2.5	7.8	14.4
2015.07	서울시	25.8	30	36	22.6	18.2	226	71	28	1,006.5	19.6	7	176.1	-	2.8	8	14.4
2015.08	서울시	26.3	30.8	34.4	22.8	18.9	72.9	70	29	1,008.2	19.9	5.6	207	-	2.4	8.1	14.2
2015.09	서울시	22.4	28.1	31	17.5	14.2	26	56	15	1,014	12.4	3.8	262.1	-	2.3	6.7	12.7
2015.10	서울시	15.5	21.2	26.6	10.8	1.1	81.5	61	17	1,018.4	7.1	2.8	239.7	-	2.3	8.6	16
2015.11	서울시	8.9	12.7	19.8	5.9	-7.3	104.6	74	23	1,023.4	4	6.6	109	-	2.7	7.7	13.2
