기간	기준	아황산가스(ppm/년)	일산화탄소(ppm/8시간)	이산화질소(ppm/년)	미세먼지(㎍/㎥/년)	초미세먼지(㎍/㎥/년)	오존(ppm/8시간)
2015.01	대기오염	0.007	0.7	0.037	49	25	0.011
2015.02	대기오염	0.007	0.6	0.036	84	30	0.016
2015.03	대기오염	0.007	0.6	0.04	71	30	0.022
2015.04	대기오염	0.005	0.5	0.033	45	21	0.028
2015.05	대기오염	0.006	0.4	0.032	45	22	0.033
2015.06	대기오염	0.005	0.4	0.025	35	20	0.038
2015.07	대기오염	0.005	0.4	0.021	30	19	0.027
2015.08	대기오염	0.005	0.4	0.023	34	22	0.029
2015.09	대기오염	0.004	0.4	0.028	29	16	0.025
2015.10	대기오염	0.005	0.5	0.035	45	25	0.019
2015.11	대기오염	0.005	0.6	0.034	33	21	0.012
2015.12	대기오염	0.006	0.7	0.039	48	28	0.009
2016.01	대기오염	0.006	0.6	0.035	50	27	0.014
2016.02	대기오염	0.006	0.6	0.033	45	23	0.018
2016.03	대기오염	0.006	0.6	0.038	64	32	0.025
2016.04	대기오염	0.005	0.5	0.036	71	30	0.031
2016.05	대기오염	0.005	0.5	0.031	56	29	0.039
2016.06	대기오염	0.005	0.4	0.028	46	28	0.037
2016.07	대기오염	0.004	0.4	0.024	33	22	0.026
2016.08	대기오염	0.004	0.4	0.023	34	22	0.03
2016.09	대기오염	0.004	0.5	0.026	37	24	0.027
2016.10	대기오염	0.004	0.5	0.029	37	20	0.017
2016.11	대기오염	0.005	0.6	0.035	53	28	0.014
2016.12	대기오염	0.005	0.7	0.036	48	30	0.009
2017.01	대기오염	0.005	0.7	0.035	53	32	0.014
2017.02	대기오염	0.005	0.6	0.035	46	28	0.018
2017.03	대기오염	0.005	0.6	0.038	60	40	0.025
2017.04	대기오염	0.005	0.5	0.031	56	26	0.035
2017.05	대기오염	0.005	0.4	0.028	63	24	0.039
2017.06	대기오염	0.004	0.4	0.024	41	23	0.041
2017.07	대기오염	0.004	0.4	0.023	33	22	0.03
2017.08	대기오염	0.004	0.4	0.021	21	13	0.024
2017.09	대기오염	0.004	0.5	0.027	32	19	0.027
2017.10	대기오염	0.004	0.5	0.027	29	15	0.02
2017.11	대기오염	0.005	0.6	0.033	42	22	0.014
2017.12	대기오염	0.005	0.6	0.034	49	31	0.011
2018.01	대기오염	0.006	0.6	0.035	52	32	0.014
2018.02	대기오염	0.005	0.6	0.034	53	30	0.018
2018.03	대기오염	0.005	0.6	0.033	52	34	0.026
2018.04	대기오염	0.004	0.5	0.031	52	26	0.031
2018.05	대기오염	0.004	0.4	0.025	42	23	0.034
2018.06	대기오염	0.004	0.4	0.024	37	24	0.035
2018.07	대기오염	0.004	0.4	0.019	24	16	0.024
2018.08	대기오염	0.004	0.4	0.017	22	14	0.03
