일자	키워드
20180405	"선언,주경,광주시,의원,재선,도전,의원,광주시의회,주경님,5일,시민,활력,영위,도시,시의원,재선,도전,더불어민주당,광주시,의원,서구,선거구,후보,경선,의원,재선,성공,미세먼지,범죄,교통사고,천재지변,마음,생활,안전,도시,건설,최선"
20180405	"아경,05일,날씨,미세먼지,기온,태백,영상,2도,제주,영상,기온,기록,최저기온,영상,1도,영상,최고기온,영상,4도,영상,미세,먼지,농도,전국적,미세먼지,자료,인증,실시간,자료,오차,발생"
20180406	"벚꽃,경기도,구석구석,벚꽃,경기도,구석구석,봄맞이,벚꽃,명소,여라,더위,내음,주말,봄기운,고개,바람,소식,불청객,미세먼지,하늘,대명사,벚꽃,예년,경기도,도내,구석구석,팝콘,벚꽃,만개,장관,벚나무들,봉우리,준비,요즘,마음,준비,벚꽃비,당장,안산,호수공원,안산,호수공원,안산,벚꽃,명소,봄날,안산,안산천,벚꽃세상,희망,동산,건너편,호원초등학교,호반1육교,베스트,뷰포인트,공원,하천,벚꽃,경계,아파트,연결,그림,풍경,호수공원,산책,자전거,아이들,생태교육장,공원,사람들,인근,번화가,중앙역,식사,커피,중앙동,옆구리,안산천길,호수공원,추천,안산,공영,자전거,페달로,1일,이용,페달로,안산천,자전거,공원,도착,돗자리,가족,연인들,친구들,코스,꽃놀이,근처,중앙도서관,여유,주소,1509번지,경기도,안산시,상록구,사동,번지,문의,안산시,문화,관광,서울,과천,렛츠런파크,과천,벚꽃,서울대공원,과천저수지,둘레길,아파트,사잇길,벚꽃,계절,과천,렛츠런파크,서울,독특,축제,야간,벚꽃,개최,벚꽃,테마,7일,15일,축제,조명,몽환,분위기,벚꽃,어쿠스틱,밴드,음악,벚꽃,버스킹,퍼포먼스,넌버벌,퍼포먼스,감성적,공연,사랑,가족,벚꽃,포토존,봄날,인생사진,축제,먹거리,기간,10여,야간,벚꽃축제,기간,푸드트럭,축제,서울랜드,동물원,국립현대미술관,과천관,인근,근방,길들,벚꽃,드라이브,명소,소문,가족단위,자가용,이용,주소,경마공원,경기도,과천시,문의,안양천,벚꽃길,안양천,벚꽃,장소,경기도,봄나들이,소개,명소,구간,안양,충훈부,벚꽃,벚꽃,절정,꽃잎들,일대,석수동,충훈,7일,15일,안양충훈벚꽃축제,1.5,km구간,안양천변,만개,벚꽃,정취,문화체험,프로그램,봄맞이,축제,벚꽃,대회,공연,퍼포먼스,안양,꽃길,대회,행사,진행,벚꽃,천변,자전거,개나리,잔치,야간,벚꽃길,구간,야간조명,설치,경관,벚꽃,주소,경기도,안양시,만안구,박달동,문의,수원,경기도청,경기도청,주변,40년,아름드리,벚나무,그루,벚꽃,13일,15일,경기도청,벚꽃,낭만산책,축제,도청,주차장,홍보부스,놀이터,어린이,안전,경기도,우수농산물,판매,벚꽃,장터,주변,도청,정문,외곽산책로,도지사,공관,도민,문화,공간,변신,굿모닝하우스,벚꽃,감상,축제,벚꽃,만개,당장,도청,유동인구,수원역,10분,거리,수원역,인근,식사,쇼핑,도청,인근,벚꽃,산책,주소,경기도,수원시,팔달구,효원로,경기도청,문의,경기도,콜센터,김수언기자"
20180406	"TV편성표,4월,7일,7일,4월,7일,토요일,프로그램,방송사,사정,변동,KBS1,KBS2,MBC,TBC,EBS1,5:00KBS,5:00KBS,10KBS,네트워크,세계,해항,도시,6:00KBS,광장,5:00이욱정,PD,자연,15한국인,밥상,6:10영상,앨범,40VJ,특공대,5:00,가락,문화,10년,세계,6:00MBC,뉴스투데이,5:002018,마스터스,골프,2R,6:00모닝와이드,왕초보,영어,성인문해,교육,프로젝트,공부,00세상,30통일,50남북,40속,TV,인사이드,30통일전망대,다이노,코어,25꿈,왕국,소피루비,매거진,T스페셜,뽀로로,종합,30출동,슈퍼윙스,종합,황금연못,시니어,토크쇼,황금,연못,45슈퍼맨,10경제,매거진M,싱싱,고향,별곡,00띠,띠뽀,띠띠보,종합,30모,30KBS,40걸,세계속,00테마,기행,55열,TV,희망,세상,리얼,인터뷰,00몬카트,종합,30정글,30노래,30영화,15무한,도전,스페셜,00행복,설계,알짜배기,레전드히어,삼국전,30영상,앨범,40개,콘서트,00전국,톱10,요쇼,세상,50지식,채널e,00KBS,10동행,00MBC,스페셜,라디오,스타,00SBS,스페셜,애니메이션,런닝맨,25SBS,특별,기획,마녀전,최고,요리비결,종합,00나,행복,기부,국악,한마당,00월,드라마,기적,15주말,특별기획,남편,오작두,05헬로,카봇,20뱅글,스쿨,35월,기획,엄마,전쟁,중게임,해법,35월,특별기획,유혹자,20TBC,30월,드라마,키스,다큐,공감,20하룻밤,35쇼,음악중심,10한국,기행,종합,05생로병사,비밀,45주말,드라마,혼자,스페셜,새끼,45장수,비밀,00KBS,10동물,왕국,05동상,운명,35다,문화,고부열전,대구경북,시사,진단,50한식,마음,05불후,명곡,전설,노래,무한도전,토요일,25백,년손님,메디컬,다큐,7요일,00KBS,다큐,공감,55주말,드라마,뉴스데스크,MBC,다이어리,00박원숙,주말,특별,기획,남편,오작두,00SBS,8뉴스,30TBC,8뉴스,블랙박스,특별기획,SBS,특별,기획,마녀전,00KBS,뉴스9,세계,특파원,보고,배틀,트립,05상상,식탁,20천,컬렉션,451%,우정,다큐,프라임,쇼크,55세계,명화,무기,감독,찰스,비더,허드슨,출연,제니퍼,존스,주년,설민석,역사특강,전지,참견,시점,10KBS,다큐,우리동네,미세먼지,보고서,중계석,1:10KBS,스포츠,2:45콘서트,3:55문화,향기,4:45한식,마음,15유희열,스케치북,1:40KBS,재난,방송,센터,스포츠,매거진,1:50TV,예술,무대,동물농장,1:35,TV,동물,농장,희망,TV,SBS,스페셜,3:45순간,포착,세상,일이,1:00토,요필러,25다큐,영화,인생,다큐,로그인,2018년,8일,일요일,프로그램,방송사,사정,변동,KBS1,KBS2,MBC,TBC,EBS1,5:00이미지,다큐,음악,정원,세계,해항,도시,6:00KBS,10팔도,밥상,40101세,프러포즈,5:00생로병사,비밀,스페셜,생생정보,5:00네트워크,특선,바다야,출발,스페셜,비디오,여행,다이제스트,TV,특강,5:002018,마스터스,골프,3R,왕초보,영어,성인문해,교육,프로젝트,영어,6:00,가족,발견,희망,풍경,10특파원,세계,10KBS,재난,방송,센터,20영상,앨범,50살림,남자들,00MBC,10가요,베스트,로보카,폴리,15로이,소방안전,이야기,30두,엄마,까투리,00KBS,10일,진단,2일,00대구,MBC,시사톡톡,05물,생명,문화,채움,00최강,전사,미니특공대,30모,방송,일요,토론,251%,우정,스페셜,전지,참견,시점,00시사,진단,30TV동물,농장,00오,드봇,이상한,아이,종합,30사이언스타,소비자,리포트,45신비,TV,서프라이즈,50TBC,볼링,미스터리,유물,둑과,역사탐정단,30EBS,초대석,TV,진품,명품,50해피투게더,20명의,00KBS,10전국,노래자랑,05해피투게더,05MBC,15특집,다큐,1년,기록,수창청춘맨션,00SBS,10SBS인기,가요,10일,요시네마,골드,스티브,개건,감독,캐튜,출연,에드가,라미레즈,20박원숙,수목,드라마,추리,여왕2,호기심,저격,X파일,대탐험,20정글,법칙,프로농구,챔피언,결정,1차,20살맛,세상,스페셜,40건,강합,세계,에코하우스,20TBC,드라마,스페셜,스위치,세상,다큐,시선,30주말,드라마,40UHD,주말,드라마,부잣집,아들,세계속,해피,선데이,50복면,가왕,50런닝맨,35세계,테마기행,종합,00KBS,동물,왕국,00열,음악회,45오지,마법사,집사부,일체,00KBS,10도전,골든밸,55주말,드라마,뉴스데스크,MBC,55극한,직업,글로벌,다큐멘터리,45UHD,주말,드라마,부잣집,아들,00SBS,30TBC,45맨,블랙박스,00KBS,뉴스9,30역사,저널,그날,15개,콘서트,05미운,새끼,05부모,성적표,20특집,2편,신화,역사,다큐멘터리,3일,다큐,프라임,쇼크,55한국,영화특선,바보들,행진,하길종,감독,윤문섭,하재영,출연,15다큐,이야기,미투,운동,진앙지,와인스타인,40안녕,05스트레이트,55이불,위험,스페셜,05SBS,스페셜,05KBS,숨터,30KBS,바둑왕전,1:50팔도,밥상,스페셜,1:00건,하이에나,다큐,세계,도시,과학,2:20희망,프로젝트,행복,스페셜,3교실,1:05네트워크,특선,1:00일요필러,글로벌,프로젝트,매일신문"
20180406	"서울,2시,전역,미세먼지,주의보,발령,6일,시내,2시,서울,미세먼지,주의보,발령,미세먼지,주의보,미세먼지,PM-,평균,농도,2시간,지속,발령,이날,농도,2시,시내,자치구,미세먼지,평균,파악,서울시,호흡기,질환,심혈관,질환,시민,노약자,어린이,외출,자제,마스크,외출,보건,부탁,정보,대기,환경,정보,홈페이지,cleanair.seoul.go.kr,디지털뉴스본부"
20180406	"약자층,주경,사회,약자,창출,생활,일자리,광주시의원,더불어민주당,주경,광주시,의원,재선,출마,공식화,의원,5일,보도자료,집행부,견제,감시,역할,특정성,세대,시민,활력,영위,도시,사회,약자,대안,마련,긴급복지,연계,창출,생활,일자리,역량,집중,결의,재선,출마,의원,미세먼지,범죄,교통사고,마음,생활,안전,도시,건설,최선,약속,의원,6대,광주시의회,행정자치위원장,산업건설위원회,부위원장,역임"
20180406	"경남도교육청,학교,미세먼지,관리자,교육,경남도교육청,교육감,박종훈,진주교육대,2,,3일,창신대,미세먼지,어린이,학생,건강,피해,최소화,학교,미세먼지,관리자,교육"
20180406	"유치원,초교,공기,정화기,3년,의무화,호흡기질환,민감군,학생,미세,먼지,결석,인정,3년,유치원,초등학교,특수학교,교실,공기청정기,공기정화장치,설치,미세먼지,학생,미세,먼지,결석,질병,결석,인정,교육부,미세먼지,학생들,건강,학교,고농도,미세먼지,대책,시행,5일,대책,교육부,미세먼지,학생,교실,교실,공기정화장치,신축,학교,기계환기설비,설치,환기,설비,학교,공기청정기,구비,지난달,기준,전국,유치원,초등학교,16만,특수학교,교실,공기정화장치,설치,교실,6만,37.6%,공기정화장치,교실,10만,교육부,설치,학교,공기,정화,장치,관리기준,교육청,여건,2020년,공기,정화,장치,설치,마무리,계획,학교,도로,근처,학교,교실,3만,설치,교내,공기정화장치,1만,유치원,초중고교,천식,미세먼지,학생,보호,학교장,지정,장소,공기정화장치,설치,공기,정화,장치,설치,예산,2200억,규모,지방비,조달,계획,별도,교육부,미세먼지,야외,수업,대비,3800억,학교,실내,체육시설,설치,지원,초중고교,기준,전국,고교,특수학교,포함,1만,체육시설,실내,학교,617곳,5%,학교,호흡기질환,아토피,알레르기,민감군,학생,학년,파악,관리,등교시간대,학교,주변,실시간,미세,먼지,초미세먼지,농도,수준,학생,민감군,결석,질병,결석,인정,훈령,개정"
20180406	"구형,박근혜,대통령,선고,미세먼지,구형,박근혜,대통령,선고,6일,국정농단,사건,핵심,피의자,징역,구형,박근혜,대통령,1심,선고,헌정,사상,대통령,탄핵,형사,재판,피의자,신분,대통령,구속,형량,서울중앙지법,형사,합의,김세윤,부장판사,특정,범죄,가중,처벌,뇌물,직권남용,권리,행사,방해,혐의,대통령,선고공판,헌법재판소,3월,결정,대통령,파면,4월,검찰,구속,상태,재판,대통령,여부,재판정,출석,확인,이날,선고,공판,가능성,대통령,2일,생중계,동의,여부,의견,요청서,동의,답변서,제출,자필,의견서,재판부,불만,토로,생중계,2시,TV,생중계,대통령,출석,1심,선고,2시,TV,생중계,중형,가능성,대통령,출석,전망,검찰,공판,2월,결심,징역,벌금,구형,유영하,변호사,전원,변호인단,7명,재판부,결정,구속,연장,반발,사퇴,대통령,재판부,믿음,의미,재판,보이콧,선언,대통령,차례,재판,변호인,선임,재판부,대통령,사건,국선변호인,5명,선임,재판,재개,대통령,피고인,변호인,출석,궐석재판,심리,재판부,2월,마지막,자신,입장,최후,변론,결심공판,대통령,법정,출석,안도감,무역전쟁,해소,다우,0.99%,상승,마감,간밤,뉴욕증시,지수,미국,중국,무역,갈등,절충점,상승,마감,양국,보복관세,부과,협상,여지,투자,심리,연일,개선,증시,상승장,사흘,연속,연출,5일,미국시간,뉴욕증권거래소,NYSE,다우존스,산업,평균,지수,전장,240.92포인트,0.99%,상승,24,505.22,거래,스탠더드앤드푸어스,S&P,지수,전장,18.15포인트,0.69%,2,662.84,기술주,중심,나스닥,지수,34.44포인트,0.49%,7,076.55,마감,이날,지수,경쟁적,서로,겨냥,관세안,미국,중국,물밑협상,합의점,부상,상승,래리,커들,백악관,국가,경제,위원장,NEC,인사들,미국,정부,협상,가능성,언급,금융시장,안도,중국,무역,전쟁,직격탄,보잉,주가,이날,2.74%,상승,증시,활력,마스터스,첫날,우즈,3년,복귀,1오버,3년,토너먼트,마스터스,골프,출전,타이거,우즈,미국,첫날,오버,부응,우즈,5일,현지시간,미국,조지아주,오거스타,내셔널,GC,파72·길,7435야드,대회,첫날,버디,3개,보기,4개,1오버,73타,기록,경기,진행중,5시,87명,출전,선수,공동,선두권,5타차,2015년,3년,출전,첫날,결과,오버파,우즈,3번,이날,3번,14번,파3,16번,버디,기록,버디,3번,길이,350야드,그린,드라이버샷,지점,야드,피치샷,3.6,m지점,버디,퍼트,성공,미세먼지,청명,절기,봄비,6일,미세먼지,중국발,황사,유입,전국적,수준,기상청,이날,전국,미세먼지,농도,권역,수준,중국,황사,미세먼지,원인,미세먼지,수준,악화,마스크,미세먼지,대비용,준비,출근"
20180406	"게임,VR,바람,스마트폰,탈출,신촌,인기,대학가,VR,테마파크,롯데백화점,유통업계,가세,오프라인,게임방,이용권,매출,급증,아이돌,그룹,융합,사업,게임,산업,컴퓨터,스마트폰,화면,오프라인,가상현실,VR,게임,체험공간,홍대,신촌,대학가,중심,인기,유통업계,게임,테마,유동인구,신촌역,인근,VR,테마파크,브라이트,VRIGHT,3월,이용자,이래,누적,4000명,돌파,운영사,KT,GS리테일,5일,100명,평일,하루,주말,200~300명,정도,인기몰이,아이언맨,도심,빌딩,외계,로봇,전투,플라잉제트,외계,생명체,스페셜포스VR,인기,KT,미래,사업,개발단,권오룡,상무,플래그십,매장,포함,직영점,5개,2020년,매장,전국,1000억,매출,인근,서교동,브라이트,VR,게임,업체,스코넥,엔터테인먼트,지난달,VR스퀘어,매출,규모,오프라인,유통업계,게임,눈독,롯데백화점,패션,잡화,판매,홍대점,미니백화점,엘큐브,전면,리뉴얼,6일,게임전문관,유통업계,건물,통째,게임전문관,지하,1층,건물,지상,3층,건물,게임,체험존,게임,콘텐츠,매장,운영,1층,넷마블,대표,게임,기업인,넷마블스토어,공식,매장,엘큐브,롯데백화점,세대,타깃,미니백화점,홍대점,이대점,5개,점포,운영,매출,부진,고전,현대백화점,현대아울렛,유동인구,전국,거점,대규모,VR,테마파크,조성,계획,이날,그룹,사업부,현대IT&E,신규,설립,VR,전담,사업부,출범,백화점,10월,VR,테마파크,1호,계획,2년,10개,VR테마파크,설명,마트,백화점,체험,게임,시설,집객효과,유통업계,게임전문매장,강화,게임,열풍,수출품,성장,게임,수요,방위적,확대,한국콘텐츠진흥원,굿즈,게임,캐릭터,포함,시장,게임,9조,성장세,가상현실,체험,VR룸,오프라인,게임,시설,수요,온라인,마켓,티몬,3개월,VR룸,방탈출카페,실내사격,클라이밍,오프라인,게임방,이용권,매출,전년,기간,140%,증가,김상희,티몬,사업,본부장,학업,취업준비,사회생활,도심,콘셉트,놀이방,즐거움,미세먼지,외부요인,실내,오프라인,게임관,요인,시장,포화상태,영화업계,게임,수익,창출,수단,활용,20세기폭스,1월,게임,자회사,폭스넥스트,게임즈,자사,저작권,영화,게임,제작,3일,혹성,탈출,차용,VR,게임,출시,에일리언,활용,SF,슈팅,게임,게임업계,게임콘텐츠,활용,융합,사업,본격적,넷마블,글로벌,아이돌,그룹,방탄,소년단,영상,화보,활용,WORLD,실사,시네마틱,게임,BTS,방탄소년단,육성,시뮬레이션,게임,그룹,신곡,게임,공개,예정,게임,음원,사업,이종결합,노정연,주영재,dana,fm,kyunghyang.com"
