date,물가총지수,미세먼지(㎍/㎥/년),초미세먼지(㎍/㎥/년),,돼지고기 대표가격,,돼지 도축량,삼겹살 구매금액,햄 구매금액
기간,총지수,,,,,,,,
Jan-16,100.63,50,27,,4025,,1411936,"10,274","6,217"
Feb-16,101.03,45,23,,4336,,1299040,"8,530","4,277"
Mar-16,100.71,64,32,,4024,,1510625,"10,808","3,808"
Apr-16,100.88,71,30,,4452,,1353123,"10,041","4,391"
May-16,100.92,56,29,,4700,,1350794,"11,830","4,564"
Jun-16,100.87,46,28,,5390,,1246641,"11,016","4,423"
Jul-16,100.76,33,22,,4570,,1219703,"10,741","5,108"
Aug-16,101.15,34,22,,4612,,1288178,"11,852","5,629"
Sep-16,101.72,37,24,,5225,,1310482,"9,289","5,523"
Oct-16,101.86,37,20,,4430,,1456715,"10,920","4,022"
Nov-16,101.73,53,28,,4458,,1570371,"13,017","3,834"
Dec-16,101.89,48,30,,4486,,1528139,"12,736","5,101"
Jan-17,102.61,53,32,,4227,,1371397,"10,274","6,217"
Feb-17,102.89,46,28,,4247,,1392944,"8,530","4,277"
Mar-17,103.01,60,40,,4724,,1508216,"10,808","3,808"
Apr-17,102.92,56,26,,4698,,1344793,"10,041","4,391"
May-17,103.04,63,24,,5609,,1369589,"11,830","4,564"
Jun-17,102.98,41,23,,5418,,1303829,"11,016","4,423"
Jul-17,103.35,33,22,,5709,,1165254,"10,741","5,108"
Aug-17,104,21,13,,5164,,1337638,"11,852","5,629"
Sep-17,103.91,32,19,,5735,,1567964,"9,289","5,523"
Oct-17,103.54,29,15,,4777,,1309810,"10,920","4,022"
Nov-17,102.94,42,22,,4218,,1602937,"13,017","3,834"
Dec-17,103.21,49,31,,4636,,1454771,"12,736","5,101"
Jan-18,103.63,52,32,,4139,,1600818,"10,274","6,217"
Feb-18,104.37,53,30,,4290,,1358197,"8,530","4,277"
Mar-18,104.44,52,34,,4017,,1467841,"10,808","3,808"
Apr-18,104.63,52,26,,4508,,1465140,"10,041","4,391"
May-18,104.68,42,23,,4807,,1443726,"11,830","4,564"
Jun-18,104.39,37,24,,4858,,1300789,"11,016","4,423"
Jul-18,104.66,24,16,,5494,,1292104,"10,741","5,108"
Aug-18,105.21,22,14,,4627,,1300137,"11,852","5,629"
Sep-18,105.81,,,,,,1263318,"9,289","5,523"
Oct-18,105.46,,,,,,1687322,"10,920","4,022"
,,,,,,,1663459,"13,017","3,834"
,,,,,,,,"12,736","5,101"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
