기간	구분	총지수	식료품 및 비주류음료	식료품 및 비주류음료	식료품 및 비주류음료	주류ㆍ담배	주류ㆍ담배	주류ㆍ담배	의복ㆍ신발	의복ㆍ신발	의복ㆍ신발	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	보건	보건	보건	보건	교통	교통	교통	교통	통신	통신	통신	통신	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	교육	교육	교육	교육	교육	음식 및 숙박	음식 및 숙박	음식 및 숙박	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스
기간	구분	총지수	계	식료품	비주류음료	계	주류	담배	계	의류	신발	계	주택임차료	주거시설 유지·보수	수도 및 주거관련 서비스	전기가스 및 기타연료	계	가구ㆍ가사비품 및 카페트	가정용 섬유제품	가정용 기기	주방용품 및 가정용품	가정ㆍ정원용 공구 및 장비	일상 생활용품 및 가사서비스	계	의료용품 및 장비	외래환자 서비스	병원서비스	계	운송장비	개인운송장비 운영	운송서비스	계	우편서비스	전화 및 팩스장비	전화 및 팩스서비스	계	음향ㆍ영상ㆍ사진 및 정보처리 장비	기타 오락 및 문화용 주요내구재	기타 오락용품ㆍ조경용품 및 애완동물	오락 및 문화서비스	신문ㆍ서적 및 문방구	단체여행	계	유치원 및 초등교육	중등교육	고등교육	기타교육	계	음식서비스	숙박서비스	계	미용용품 및 미용서비스	기타 개인용품	기타 서비스
2016.01	구분	100.63	101.05	101.06	100.94	100.81	102.51	100	100.77	101.21	98.13	100.13	101.51	97.15	100.33	95.18	100.72	101.91	98.8	102.34	101.07	100.08	98.94	100.97	100.13	101.44	101.63	99.4	101.42	94.04	104.16	99.22	100	94.9	100.04	100	98.87	99.2	102.81	100.26	100.42	98.51	100.78	101.33	100.11	100.01	101.05	101.76	101.83	99.42	102.61	100.3	99.76	107.95
2016.02	구분	101.03	103.58	103.74	101.27	100.97	103.01	100	101.52	101.15	103.75	100.31	101.63	97.65	101.18	95.18	101.13	102.33	98.7	102.36	101.91	100.39	99.7	100.95	99.92	101.53	101.69	98.21	99.62	92.1	104.12	99.22	100	94.9	100.04	100.63	99.54	99.65	104.14	100.23	100.43	99.96	100.95	101.33	100.11	100.01	101.29	101.85	101.91	99.69	103	100.35	102.3	108.08
2016.03	구분	100.71	102.07	102.11	101.55	100.98	103.05	100	101.5	101.15	103.66	99.68	101.83	97.74	101.44	90.71	101.38	104.47	100.87	101.91	102.2	100.23	99.1	100.95	99.94	101.53	101.69	97.69	99.59	91.24	103.7	99.22	100	94.9	100.04	100.08	99.32	100.26	103.64	101.57	100.34	96.58	101.32	102.7	100.11	100.03	101.73	102.21	102.3	98.97	103.11	99.96	102.78	108.93
2016.04	구분	100.88	101.76	101.83	100.68	101.05	103.25	100	101.52	101.11	103.99	99.85	101.97	97.74	102.03	90.7	101.21	105.38	100.68	101.74	102.84	100.23	98.02	101.04	100.03	101.64	101.69	97.89	99.74	91.64	103.71	100.45	100	102.59	100.04	100.63	99.15	100.2	103.82	101.85	100.54	98.07	101.44	102.7	100.11	100.03	101.91	102.58	102.64	100.42	103.15	100.03	102.69	108.98
2016.05	구분	100.92	100.54	100.61	99.49	101.06	103.29	100	101.97	101.66	103.87	99.62	102.14	97.81	102.14	88.71	100.55	105.22	100.87	101.75	102.34	100.23	96.12	101	99.92	101.64	101.69	98.79	99.42	93.6	104.11	100.45	100	102.59	100.04	102.57	101.42	98.97	104.3	102.3	100.6	103.63	101.69	102.7	100.11	100.03	102.28	102.61	102.65	101.21	103.33	100.23	102.77	109.17
2016.06	구분	100.87	99.05	98.92	101.04	100.87	102.68	100	101.98	101.66	103.9	99.81	102.35	97.89	102.54	88.72	101.24	105.22	100.58	101.9	101.16	100.23	98.57	101.03	100	101.64	101.7	100.07	99.5	96.84	103.9	100.45	100	102.59	100.04	101.56	101.26	98.78	104.17	102.2	100.64	100.21	101.69	102.7	100.11	100.03	102.28	102.72	102.76	101.09	103.46	100.45	102.74	109.18
2016.07	구분	100.76	98.88	98.81	99.86	100.85	102.63	100	101.21	101.64	98.58	98.34	102.62	97.89	100.9	80.51	102.4	105.29	100.63	101.64	100.66	100.23	102.55	100.98	99.85	101.64	101.7	100.79	100.76	97.19	104.76	100.45	100	102.59	100.04	104.26	101.75	98.54	103.94	102.27	100.48	109.98	101.76	102.7	100.11	100.03	102.39	102.92	102.87	104.56	103.17	100.08	102	109.22
2016.08	구분	101.15	100.69	100.77	99.59	101.22	103.78	100	101.98	101.68	103.81	98.57	102.83	98.37	101.54	80.51	102.44	106.32	100.87	102.25	101.69	100.27	101.16	100.88	99.61	101.64	101.7	100.61	100.82	96.54	104.95	100.45	100	102.59	100.04	105.09	101.29	98.64	103.9	102.21	100.41	113.27	101.76	102.7	100.11	100.03	102.39	103.09	102.97	107.17	103.39	99.61	101.9	110.83
2016.09	구분	101.72	105.52	105.93	99.59	100.88	102.71	100	102.01	101.68	104.01	98.79	103.04	98.33	102.26	80.5	102.68	106.32	100.87	102.46	100.9	100.33	101.94	100.94	99.69	101.7	101.7	100.17	100.89	96.14	104.17	100.52	100	103.05	100.04	103.46	100.8	99.21	104.79	102.19	100.51	107	102.12	102.7	100.11	100.05	102.89	103.14	103.2	101.17	103.48	100	100.86	110.84
2016.10	구분	101.86	104.29	104.54	100.62	100.96	102.96	100	102.09	101.68	104.6	100.4	103.11	98.99	103.23	88.52	102	106.3	103.32	101.3	99.01	100.45	100.85	100.91	99.64	101.7	101.63	100.15	100.84	96.17	104.13	100.56	100	103.05	100.09	102.47	100.18	100.24	104.42	102.24	100.63	103.62	102.18	102.7	100.11	100.05	102.98	103.18	103.23	101.4	103.45	99.77	101.63	110.84
2016.11	구분	101.73	103.07	103.28	100.04	101.15	103.55	100	101.98	102.16	100.91	100.95	103.31	99.49	102.92	90.95	101.69	105.58	103.4	99.63	101.58	100.85	101	101.03	99.95	101.7	101.63	100.08	99.98	96.83	103.7	100.04	100	99.82	100.09	101.33	97.72	103.52	105.43	102.38	101.1	99.19	102.21	102.7	100.11	100.05	103.03	103.2	103.28	100.27	103.51	99.47	103.46	110.84
